,precision,recall,f1-score,support,song_count
112,1.0,1.0,1.0,1.0,6
Busta Rhymes,1.0,1.0,1.0,2.0,7
Neil Sedaka,1.0,1.0,1.0,1.0,6
Ginuwine,1.0,1.0,1.0,2.0,7
Snoop Dogg,1.0,1.0,1.0,1.0,6
Mary J. Blige,0.6666666666666666,1.0,0.8,2.0,9
Sean Paul,0.6666666666666666,1.0,0.8,2.0,8
Pitbull,1.0,0.5,0.6666666666666666,2.0,9
Coldplay,1.0,0.5,0.6666666666666666,2.0,8
Doja Cat,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,13
Dr. Dre,1.0,0.5,0.6666666666666666,2.0,6
Ed Sheeran,0.6,0.75,0.6666666666666666,4.0,15
Santana,1.0,0.5,0.6666666666666666,2.0,9
Eric Clapton,1.0,0.5,0.6666666666666666,2.0,8
Sam Smith,1.0,0.5,0.6666666666666666,2.0,7
Guy Mitchell,0.5,1.0,0.6666666666666666,1.0,6
Cardi B,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,10
Ja Rule,1.0,0.5,0.6666666666666666,2.0,7
James Brown,1.0,0.5,0.6666666666666666,2.0,7
Jay-Z,0.6,0.75,0.6666666666666666,4.0,14
John Denver,0.5,1.0,0.6666666666666666,1.0,6
Kesha,0.5,1.0,0.6666666666666666,2.0,9
Andy Gibb,1.0,0.5,0.6666666666666666,2.0,7
Nelly,0.6,0.75,0.6666666666666666,4.0,14
Luke Bryan,1.0,0.5,0.6666666666666666,2.0,9
50 Cent,0.5,1.0,0.6666666666666666,2.0,9
David Guetta,1.0,0.5,0.6666666666666666,2.0,7
Eminem,0.4444444444444444,1.0,0.6153846153846154,4.0,16
Connie Francis,0.5,0.6666666666666666,0.5714285714285714,3.0,11
Chris Brown,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0,23
Michael Jackson,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0,25
The Weeknd,1.0,0.3333333333333333,0.5,3.0,11
3 Doors Down,0.3333333333333333,1.0,0.5,2.0,8
Shawn Mendes,1.0,0.3333333333333333,0.5,3.0,11
