id,year,decade,rank,title,artist,title_norm,artist_norm,source,url,word_count
1,2015,2010,1,Uptown Funk,Mark Ronson featuring Bruno Mars,uptown funk,mark ronson,genius,https://genius.com/Genius-traduzioni-italiane-mark-ronson-uptown-funk-ft-bruno-mars-traduzione-italiana-lyrics,638.0
2,2015,2010,2,Thinking Out Loud,Ed Sheeran,thinking out loud,ed sheeran,genius,https://genius.com/Ed-sheeran-thinking-out-loud-lyrics,325.0
3,2015,2010,3,See You Again,Wiz Khalifa featuring Charlie Puth,see you again,wiz khalifa,genius,https://genius.com/Wiz-khalifa-see-you-again-lyrics,438.0
4,2015,2010,4,Trap Queen,Fetty Wap,trap queen,fetty wap,genius,https://genius.com/Fetty-wap-trap-queen-lyrics,608.0
5,2015,2010,5,Sugar,Maroon 5,sugar,maroon 5,genius,https://genius.com/Maroon-5-sugar-lyrics,474.0
6,2015,2010,6,Shut Up and Dance,Walk the Moon,shut up and dance,walk the moon,genius,https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics,348.0
7,2015,2010,7,Blank Space,Taylor Swift,blank space,taylor swi,genius,https://genius.com/Taylor-swift-blank-space-lyrics,519.0
8,2015,2010,8,Watch Me,Silentó,watch me,silento,genius,https://genius.com/Silento-watch-me-whip-lyrics,428.0
9,2015,2010,9,Earned It,The Weeknd,earned it,the weeknd,genius,https://genius.com/The-weeknd-earned-it-lyrics,321.0
10,2015,2010,11,Cheerleader (Felix Jaehn Remix),OMI,cheerleader felix jaehn remix,omi,genius,https://genius.com/Omi-cheerleader-felix-jaehn-remix-lyrics,287.0
11,2015,2010,12,Can't Feel My Face,The Weeknd,cant feel my face,the weeknd,genius,https://genius.com/The-weeknd-cant-feel-my-face-lyrics,493.0
12,2015,2010,13,Love Me Like You Do,Ellie Goulding,love me like you do,ellie goulding,genius,https://genius.com/Ellie-goulding-love-me-like-you-do-lyrics,351.0
13,2015,2010,14,Take Me to Church,Hozier,take me to church,hozier,genius,https://genius.com/Hozier-take-me-to-church-lyrics,436.0
14,2015,2010,15,Bad Blood,Taylor Swift featuring Kendrick Lamar,bad blood,taylor swi,azlyrics,https://www.azlyrics.com/lyrics/taylorswift/badblood.html,485.0
15,2015,2010,16,Lean On,Major Lazer and DJ Snake featuring MØ,lean on,major lazer and dj snake,genius,https://genius.com/Genius-greek-translations-major-lazer-lean-on-ft-m-and-dj-snake-lyrics,417.0
16,2015,2010,17,Want to Want Me,Jason Derulo,want to want me,jason derulo,genius,https://genius.com/Jason-derulo-want-to-want-me-lyrics,442.0
17,2015,2010,18,Shake It Off,Taylor Swift,shake it off,taylor swi,genius,https://genius.com/Taylor-swift-shake-it-off-lyrics,557.0
18,2015,2010,19,Where Are Ü Now,Jack Ü featuring Justin Bieber,where are u now,jack u,genius,https://genius.com/Jack-u-where-are-u-now-marshmello-remix-skrillex-flip-lyrics,244.0
19,2015,2010,20,Fight Song,Rachel Platten,fight song,rachel platten,genius,https://genius.com/Rachel-platten-fight-song-lyrics,359.0
20,2015,2010,21,679,Fetty Wap featuring Remy Boyz,679,fetty wap,genius,https://genius.com/Fetty-wap-679-lyrics,578.0
21,2015,2010,22,Lips Are Movin,Meghan Trainor,lips are movin,meghan trainor,genius,https://genius.com/Meghan-trainor-lips-are-movin-lyrics,544.0
22,2015,2010,23,Worth It,Fifth Harmony featuring Kid Ink,worth it,fi,genius,https://genius.com/Fifth-harmony-worth-it-lyrics,623.0
23,2015,2010,24,Post to Be,Omarion featuring Chris Brown and Jhené Aiko,post to be,omarion,genius,https://genius.com/Omarion-post-to-be-lyrics,759.0
24,2015,2010,25,"Honey, I'm Good.",Andy Grammer,honey im good,andy grammer,genius,https://genius.com/Andy-grammer-honey-im-good-lyrics,477.0
25,2015,2010,26,I'm Not the Only One,Sam Smith,im not the only one,sam smith,genius,https://genius.com/Sam-smith-im-not-the-only-one-lyrics,244.0
26,2015,2010,27,Good for You,Selena Gomez featuring ASAP Rocky,good for you,selena gomez,genius,https://genius.com/Selena-gomez-good-for-you-lyrics,445.0
27,2015,2010,28,All About That Bass,Meghan Trainor,all about that bass,meghan trainor,genius,https://genius.com/Meghan-trainor-all-about-that-bass-lyrics,520.0
28,2015,2010,29,Style,Taylor Swift,style,taylor swi,genius,https://genius.com/Taylor-swift-style-lyrics,390.0
29,2015,2010,30,Hotline Bling,Drake,hotline bling,drake,genius,https://genius.com/Drake-hotline-bling-lyrics,431.0
30,2015,2010,31,Hey Mama,"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",hey mama,david guetta,genius,https://genius.com/David-guetta-hey-mama-lyrics,514.0
31,2015,2010,32,G.D.F.R.,Flo Rida featuring Sage the Gemini and Lookas,gdfr,flo rida,genius,https://genius.com/Flo-rida-gdfr-lyrics,403.0
32,2015,2010,33,What Do You Mean?,Justin Bieber,what do you mean,justin bieber,genius,https://genius.com/Justin-bieber-what-do-you-mean-lyrics,454.0
33,2015,2010,34,Photograph,Ed Sheeran,photograph,ed sheeran,genius,https://genius.com/Ed-sheeran-photograph-lyrics,324.0
34,2015,2010,35,Hello,Adele,hello,adele,genius,https://genius.com/Adele-hello-lyrics,365.0
35,2015,2010,36,Stitches,Shawn Mendes,stitches,shawn mendes,genius,https://genius.com/Shawn-mendes-stitches-lyrics,383.0
36,2015,2010,37,Talking Body,Tove Lo,talking body,tove lo,genius,https://genius.com/Tove-lo-talking-body-lyrics,442.0
37,2015,2010,38,Jealous,Nick Jonas,jealous,nick jonas,genius,https://genius.com/Nick-jonas-jealous-lyrics,367.0
38,2015,2010,39,Time of Our Lives,Pitbull and Ne-Yo,time of our lives,pitbull and neyo,genius,https://genius.com/Pitbull-and-ne-yo-time-of-our-lives-lyrics,646.0
39,2015,2010,40,Locked Away,R. City featuring Adam Levine,locked away,r city,genius,https://genius.com/R-city-locked-away-lyrics,640.0
40,2015,2010,41,Somebody,Natalie La Rose featuring Jeremih,somebody,natalie la rose,genius,https://genius.com/Natalie-la-rose-somebody-lyrics,439.0
42,2015,2010,43,Centuries,Fall Out Boy,centuries,fall out boy,genius,https://genius.com/Fall-out-boy-centuries-lyrics,350.0
43,2015,2010,44,My Way,Fetty Wap featuring Monty,my way,fetty wap,genius,https://genius.com/Fetty-wap-my-way-lyrics,597.0
44,2015,2010,45,Take Your Time,Sam Hunt,take your time,sam hunt,genius,https://genius.com/Sam-hunt-take-your-time-lyrics,409.0
45,2015,2010,46,Animals,Maroon 5,animals,maroon 5,genius,https://genius.com/Maroon-5-animals-lyrics,486.0
46,2015,2010,47,I Don't Fuck with You,Big Sean featuring E-40,i dont fuck with you,big sean,genius,https://genius.com/Big-sean-i-dont-fuck-with-you-lyrics,966.0
47,2015,2010,48,Bitch Better Have My Money,Rihanna,bitch better have my money,rihanna,genius,https://genius.com/Rihanna-bitch-better-have-my-money-lyrics,381.0
48,2015,2010,49,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,flex ooh ooh ooh,rich homie quan,genius,https://genius.com/Rich-homie-quan-flex-ooh-ooh-ooh-lyrics,552.0
49,2015,2010,50,Nasty Freestyle,T-Wayne,nasty freestyle,twayne,genius,https://genius.com/T-wayne-nasty-freestyle-lyrics,359.0
50,2015,2010,51,Only,"Nicki Minaj featuring Drake, Lil Wayne and Chris Brown",only,nicki minaj,genius,https://genius.com/Nicki-minaj-only-lyrics,867.0
51,2015,2010,52,Elastic Heart,Sia,elastic heart,sia,genius,https://genius.com/Sia-elastic-heart-lyrics,382.0
52,2015,2010,53,Cool for the Summer,Demi Lovato,cool for the summer,demi lovato,genius,https://genius.com/Demi-lovato-cool-for-the-summer-lyrics,343.0
53,2015,2010,54,Renegades,X Ambassadors,renegades,x ambassadors,genius,https://genius.com/X-ambassadors-renegades-lyrics,158.0
54,2015,2010,55,I Don't Mind,Usher featuring Juicy J,i dont mind,usher,genius,https://genius.com/Usher-i-dont-mind-lyrics,667.0
55,2015,2010,56,Love Me Harder,Ariana Grande and The Weeknd,love me harder,ariana grande and the weeknd,genius,https://genius.com/Genius-turkce-ceviriler-ariana-grande-and-the-weeknd-love-me-harder-turkce-ceviri-lyrics,369.0
56,2015,2010,57,Wildest Dreams,Taylor Swift,wildest dreams,taylor swi,genius,https://genius.com/Taylor-swift-wildest-dreams-lyrics,356.0
57,2015,2010,58,Stay with Me,Sam Smith,stay with me,sam smith,genius,https://genius.com/Sam-smith-stay-with-me-lyrics,179.0
58,2015,2010,59,You Know You Like It,DJ Snake and AlunaGeorge,you know you like it,dj snake and alunageorge,genius,https://genius.com/Dj-snake-and-alunageorge-you-know-you-like-it-lyrics,343.0
59,2015,2010,60,Uma Thurman,Fall Out Boy,uma thurman,fall out boy,genius,https://genius.com/Fall-out-boy-uma-thurman-lyrics,323.0
60,2015,2010,61,7/11,Beyoncé,711,beyonce,genius,https://genius.com/Beyonce-7-11-lyrics,681.0
61,2015,2010,62,The Heart Wants What It Wants,Selena Gomez,the heart wants what it wants,selena gomez,genius,https://genius.com/Selena-gomez-the-heart-wants-what-it-wants-lyrics,405.0
62,2015,2010,63,Girl Crush,Little Big Town,girl crush,little big town,genius,https://genius.com/Little-big-town-girl-crush-lyrics,195.0
63,2015,2010,64,Slow Motion,Trey Songz,slow motion,trey songz,genius,https://genius.com/Trey-songz-slow-motion-lyrics,300.0
64,2015,2010,65,Drag Me Down,One Direction,drag me down,one direction,genius,https://genius.com/One-direction-drag-me-down-lyrics,378.0
65,2015,2010,66,Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,truffle butter,nicki minaj,genius,https://genius.com/Nicki-minaj-truffle-butter-lyrics,553.0
66,2015,2010,67,One Last Time,Ariana Grande,one last time,ariana grande,genius,https://genius.com/Ariana-grande-one-last-time-lyrics,403.0
